けふもあり
家遠し
むかしかな
煮えるうち
春の夕
宵の春
ぬるるほど
のたりかな
手毬かな
香をつぐ
春の雨
春の風
霞かな
朧月
日は西に
胡蝶かな
なくなりぬ
なりにけり
抱きごころ
遅ざくら
歌の主
花いばら
手にぞうり
ニ三片
家二軒
かねの声
更衣
白牡丹
脛をうつ
若葉かな
清水かな
夜半の門
若葉かな
露の玉
筋違に
淵のいろ
踊かな
けさの秋
通りけり
ひとつづつ
露ながら
野分かな
ところどころ
あゆみ行く
薄かな
寒さかな
冬木立
帰りけり
鍋のもの
時雨かな
西の京
過ぎて後
寒さかな
信濃空
膝頭
駕二挺
天の川
天の川
天の川
天の川
天の川
天の川
天の川
天の川
見ゆるかな
天の川
見ゆるかな
過ぎにけり
真上かな
天の川
天の川
けふは西
富士の晴れ
なかりけり
もらひ水
酒の酔
団扇かな
長刀
東山
笠の上
月夜かな
根芹かな
冬至かな
橋の霜
桜かな
強からず
衣がへ
頭巾かな
主かな
薄加減
比枝許り
夕涼み
春の雪
仏たち
弦張らん
十文字
闇の門
雉の声
柳かな
花見かな
